Date,Time,Latitude,Longitude,Depth,Magnitude
2022-06-17,08:28:41.46,65.71,-16.7642,1.71576,-0.006772
2022-06-18,23:16:14.41,65.7142,-16.7764,1.61505,0.134441
2022-06-25,11:01:20.74,65.7105,-16.7701666667,1.51,-0.072868
2022-06-25,20:25:19.30,65.7111666667,-16.7591666667,1.87,0.20333
2022-06-27,06:13:10.77,65.7105,-16.7645,1.53,0.077982
2022-06-27,09:44:20.49,65.714,-16.7498333333,1.62,-0.215162
2022-06-27,14:39:34.45,65.711,-16.772,1.52,-0.083179
2022-06-27,18:29:38.47,65.7155,-16.757,1.58,0.025895
2022-06-28,12:16:50.19,65.7115,-16.7635,1.64,0.095562
2022-06-28,12:17:24.65,65.7115,-16.7626666667,1.67,0.031783
2022-06-28,19:11:43.23,65.72,-16.767,1.77,0.042346
2022-06-28,22:51:26.74,65.7188333333,-16.7686666667,1.36,-0.003706
2022-06-29,15:59:55.64,65.7175,-16.7563333333,1.58,-0.214495
2022-06-30,01:21:08.85,65.7193333333,-16.7633333333,1.61,-0.291805
2022-06-30,11:56:49.44,65.7133333333,-16.7568333333,1.61,-0.208454
2022-07-01,13:27:52.76,65.7208333333,-16.7635,1.63,0.106407
2022-07-01,22:19:05.52,65.7175,-16.7618333333,1.66,-0.398472
2022-07-02,05:38:51.34,65.7161666667,-16.7605,1.68,-0.430939
2022-07-02,07:40:04.27,65.7178333333,-16.7681666667,1.49,-0.353192
2022-07-04,15:16:31.96,65.7127,-16.7634,1.57477,0.165295
2022-07-09,14:03:45.24,65.7111666667,-16.7621666667,1.52,-0.135131
2022-07-11,01:52:21.53,65.7118333333,-16.758,1.69,0.139583
2022-07-13,00:16:35.52,65.7146666667,-16.7625,1.62,0.331521
2022-07-14,21:23:35.11,65.7136666667,-16.7625,1.51,-0.041967
2022-07-15,07:31:07.41,65.7105,-16.7625,1.78,0.102935
2022-07-15,09:51:14.42,65.711,-16.7686666667,1.46,-0.005623
2022-07-15,16:53:02.59,65.7116666667,-16.7536666667,1.32,0.117213
2022-07-16,17:31:36.72,65.7156666667,-16.7791666667,1.99,-0.058729
2022-07-17,06:52:22.18,65.7141666667,-16.7606666667,1.43,0.048014
2022-07-19,21:09:48.02,65.7106,-16.7655,1.70233,0.095223
2022-07-20,00:10:40.17,65.7157,-16.7549,1.37335,-0.186657
2022-07-21,05:11:48.02,65.7103,-16.7679,1.70233,-0.154918
2022-07-21,22:20:42.74,65.7129,-16.7626,1.65533,-0.241698
2022-07-22,11:09:57.37,65.7131,-16.7692,1.61505,-0.212801
2022-07-22,12:44:24.87,65.713,-16.768,1.61505,-0.119454
2022-07-23,01:11:39.08,65.7107,-16.7696,1.40021,-0.12472
2022-07-23,09:00:15.60,65.7111,-16.7627,2.12866,-0.470506
2022-07-24,03:30:09.45,65.7139,-16.7608,1.55463,-0.289196
2022-07-24,10:58:23.70,65.7118,-16.768,1.28607,-0.28786
2022-07-24,11:01:45.28,65.7118,-16.7698,1.4942,-0.022402
2022-07-24,11:02:43.33,65.7118,-16.7688,1.35321,-0.126057
2022-07-24,11:03:43.49,65.7109,-16.769,1.50092,0.337358
2022-07-24,11:04:34.21,65.7114,-16.7702,1.44049,0.149412
2022-07-24,11:09:12.76,65.7108,-16.7709,1.40692,-0.170509
2022-07-03,00:01:29.750,65.7118333333,-16.757,1.53,0
2022-07-04,15:16:32.080,65.7133333333,-16.7595,1.56,0
2022-06-28,12:19:33.200,65.7118333333,-16.7678333333,1.68,0
2022-06-29,21:32:02.070,65.7113333333,-16.7661666667,3.08,0
